time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,2.21426693732e-08,2.6998538109e-08,10.0043338079,6.28278304217,6.28315672508,0.0,2.27107513169e-06,-1.50314518263e-05,0.144452189831,-0.0255562074238,-0.00144663011306,0.0,450.99604004434656,450.87921362987214,451.66090462583657,449.5955053689696
0.12000000000000001,1.15589324454e-06,-1.59163619898e-05,10.0172276512,6.28088517147,6.28304380264,0.0,4.62950377465e-05,-0.000697272875424,0.2853170048,-0.0479613741429,-0.0027674673779,0.0,449.5880318183702,449.4810603242561,450.8004632615666,448.98623984845034
0.18,7.76854573282e-06,-0.000119394642487,10.0384276795,6.27792697134,6.28271203839,0.0,0.000200119622509,-0.00306494505756,0.421308588568,-0.0521311879296,-0.0117216735242,0.0,448.3512826247679,447.62341090055384,448.74439464332335,448.40434437695217
0.23999999999999996,3.46309115633e-05,-0.000446508166318,10.0706157294,6.27497140695,6.28164582824,0.0,0.000797522597755,-0.00820650765922,0.65152090654,-0.0440604945585,-0.0340033403176,0.0,477.67535550008193,475.97346158535885,476.1713741861218,476.78693062758884
0.3,0.000125566769146,-0.0011356689744,10.1146668019,6.27241743664,6.27985408094,0.0,0.00244622532226,-0.015054627093,0.816741167558,-0.0397343156713,-0.022655182697,0.0,456.7787064083482,457.68238760749125,457.789024709444,458.13214679702816
0.36000000000000004,0.000347548927645,-0.00227395158483,10.1670001968,6.27027792832,6.2784820408,0.0,0.00509438759183,-0.0231204662133,0.927618171966,-0.0285507604817,-0.0232950052867,0.0,441.32164031827494,441.2687896720982,440.340360045905,441.26381688519973
0.4200000000000001,0.000764223069623,-0.00395687077574,10.2273544595,6.26852343705,6.27677710123,0.0,0.00896227604991,-0.0331663538384,1.08405143935,-0.0306598783256,-0.0413807255834,0.0,455.9804775136995,454.5332929548837,455.5463766086893,455.37748294534754
0.48000000000000015,0.00144090885397,-0.00625030762011,10.2949581797,6.26647238432,6.27399827697,0.0,0.0138534910729,-0.0434733428913,1.16931714482,-0.0423748529069,-0.0586657230116,0.0,434.1745556182495,432.72067399246157,433.89408945673796,432.9090273381332
0.5400000000000001,0.00250608941955,-0.00926782008918,10.3712583918,6.26378445056,6.26999936493,0.0,0.0220812809732,-0.0574131398059,1.37378975975,-0.0501490544251,-0.0916921290585,0.0,472.2916167026952,469.73425784451325,469.8560020408182,469.2519146993818
0.6000000000000002,0.00417793016712,-0.0131988288332,10.4604412961,6.26147923801,6.26433309414,0.0,0.0343147030342,-0.0739266404631,1.59866958698,-0.0217082224439,-0.100583685679,0.0,476.76846705358315,476.0817427591266,476.0513872847924,478.2216736700225
0.6600000000000003,0.00655249802143,-0.0179813435983,10.5545023835,6.2600777791,6.25801790266,0.0,0.0453195909874,-0.0855976841583,1.53677257171,-0.0268788655783,-0.116764820814,0.0,386.0548809982549,384.51338752279054,384.7225651682909,384.2325628307375
